system,config_name,method,seed,metric,value
duffing,smoke_duffing,EDMD-disc deg=2,1,one_step,0.05422763161312054
duffing,smoke_duffing,EDMD-disc deg=2,42,one_step,0.050946875445609496
duffing,smoke_duffing,EDMD-disc deg=2,101,one_step,0.04977501658934022
duffing,smoke_duffing,EDMD-disc deg=2,1,r1s,0.6347634247623238
duffing,smoke_duffing,EDMD-disc deg=2,42,r1s,0.6018053428641879
duffing,smoke_duffing,EDMD-disc deg=2,101,r1s,0.6988099225187765
duffing,smoke_duffing,EDMD-disc deg=2,1,r5s,0.745653129969065
duffing,smoke_duffing,EDMD-disc deg=2,42,r5s,0.722236881542685
duffing,smoke_duffing,EDMD-disc deg=2,101,r5s,0.7731218110818879
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,1,one_step,0.021205775340183447
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,42,one_step,0.007854718446475348
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,101,one_step,0.00677414821600205
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,1,r1s,0.22001853240107905
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,42,r1s,0.16415675515627023
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,101,r1s,0.08599890183509726
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,1,r5s,0.8101463021697043
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,42,r5s,0.4574769035154735
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,101,r5s,0.4178152901003003
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,1,one_step,0.0033084852899981365
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,42,one_step,0.003217890816431822
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,101,one_step,0.0009515599775213591
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,1,r1s,0.04113380916495162
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,42,r1s,0.057237385642431846
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,101,r1s,0.003906361886930091
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,1,r5s,0.16299885503273154
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,42,r5s,0.24410847963667576
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,101,r5s,0.023758125531164388
duffing,smoke_duffing,Taylor-analytic N=2,1,one_step,2.247313629943004
duffing,smoke_duffing,Taylor-analytic N=2,42,one_step,2.0035607548631744
duffing,smoke_duffing,Taylor-analytic N=2,101,one_step,1.7893739095209076
duffing,smoke_duffing,Taylor-analytic N=2,1,r1s,1.493529386347205
duffing,smoke_duffing,Taylor-analytic N=2,42,r1s,1.4897870568793552
duffing,smoke_duffing,Taylor-analytic N=2,101,r1s,1.497236906038522
duffing,smoke_duffing,Taylor-analytic N=2,1,r5s,60.03044657334723
duffing,smoke_duffing,Taylor-analytic N=2,42,r5s,59.61887946234155
duffing,smoke_duffing,Taylor-analytic N=2,101,r5s,60.712823791941716
duffing,smoke_duffing,Taylor-analytic N=4,1,one_step,2.2257459807292452
duffing,smoke_duffing,Taylor-analytic N=4,42,one_step,0.3326708714043062
duffing,smoke_duffing,Taylor-analytic N=4,101,one_step,0.3128193672077327
duffing,smoke_duffing,Taylor-analytic N=4,1,r1s,1.4624872813447014
duffing,smoke_duffing,Taylor-analytic N=4,42,r1s,0.11191592607166315
duffing,smoke_duffing,Taylor-analytic N=4,101,r1s,0.12521592563390627
duffing,smoke_duffing,Taylor-analytic N=4,1,r5s,58.222789083508054
duffing,smoke_duffing,Taylor-analytic N=4,42,r5s,0.6290496290705707
duffing,smoke_duffing,Taylor-analytic N=4,101,r5s,0.617325935275766
duffing,smoke_duffing,GMM-baseline N=2,1,one_step,2.2468928304258986
duffing,smoke_duffing,GMM-baseline N=2,42,one_step,0.9821818430905404
duffing,smoke_duffing,GMM-baseline N=2,101,one_step,1.77418524545969
duffing,smoke_duffing,GMM-baseline N=2,1,r1s,1.4915985562655074
duffing,smoke_duffing,GMM-baseline N=2,42,r1s,0.6597851818240779
duffing,smoke_duffing,GMM-baseline N=2,101,r1s,1.480837399310848
duffing,smoke_duffing,GMM-baseline N=2,1,r5s,60.27774123093657
duffing,smoke_duffing,GMM-baseline N=2,42,r5s,1.6058879694195536
duffing,smoke_duffing,GMM-baseline N=2,101,r5s,58.019898391300195
duffing,smoke_duffing,GMM-baseline N=4,1,one_step,1.1196191885365439
duffing,smoke_duffing,GMM-baseline N=4,42,one_step,0.8600943920699475
duffing,smoke_duffing,GMM-baseline N=4,101,one_step,0.9370202546377385
duffing,smoke_duffing,GMM-baseline N=4,1,r1s,0.6363382699987106
