system,config_name,method,metric,n,mean,ci
duffing,smoke_duffing,EDMD-disc deg=2,one_step,3.0,0.051649841216023416,0.005733498434304357
duffing,smoke_duffing,EDMD-disc deg=2,r1s,3.0,0.6451262300484294,0.1225315353493033
duffing,smoke_duffing,EDMD-disc deg=2,r5s,3.0,0.747003940864546,0.06326936023075352
duffing,smoke_duffing,GMM-baseline N=2,one_step,3.0,1.6677533063253762,1.5874578569767064
duffing,smoke_duffing,GMM-baseline N=2,r1s,3.0,1.2107403791334777,1.1853598021689529
duffing,smoke_duffing,GMM-baseline N=2,r5s,3.0,39.967842530552105,82.57671818578487
duffing,smoke_duffing,GMM-baseline N=4,one_step,3.0,0.9722446117480766,0.3311351516049948
duffing,smoke_duffing,GMM-baseline N=4,r1s,3.0,0.545867516864824,0.19463467775584337
duffing,smoke_duffing,GMM-baseline N=4,r5s,3.0,1.3333979884510168,1.3388987643366663
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,one_step,3.0,0.011944880667553615,0.019968362949321417
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,r1s,3.0,0.1567247297974822,0.16722770778782753
duffing,smoke_duffing,Local-EDMD-disc d2 N=2,r5s,3.0,0.5618128319284926,0.5365127614359599
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,one_step,3.0,0.002492645361317106,0.0033172866202233003
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,r1s,3.0,0.03409251889810452,0.06795078666667935
duffing,smoke_duffing,Local-EDMD-disc d2 N=4,r5s,3.0,0.14362182006685723,0.2768467749322368
duffing,smoke_duffing,Taylor-analytic N=2,one_step,3.0,2.0134160981090288,0.5691876866534211
duffing,smoke_duffing,Taylor-analytic N=2,r1s,3.0,1.4935177830883608,0.0092532592918811
duffing,smoke_duffing,Taylor-analytic N=2,r5s,3.0,60.12071660921017,1.3725620883365852
duffing,smoke_duffing,Taylor-analytic N=4,one_step,3.0,0.9570787397804281,2.7294286580529676
duffing,smoke_duffing,Taylor-analytic N=4,r1s,3.0,0.5665397110167569,1.927546418886611
duffing,smoke_duffing,Taylor-analytic N=4,r5s,3.0,19.82305488261813,82.61036187291413
lorenz,smoke_lorenz,EDMD-disc deg-2,one_step,3.0,0.06670618818559276,0.03726428652652408
lorenz,smoke_lorenz,EDMD-disc deg-2,r0_5s,3.0,0.7975972784989792,1.2398734167014507
lorenz,smoke_lorenz,EDMD-disc deg-2,r1s,3.0,1.583668753975787,0.7752530996555267
lorenz,smoke_lorenz,EDMD-disc deg-2,rel_pct,3.0,8.279386624571975,7.036354595077502
lorenz,smoke_lorenz,EDMD-pk deg-2,one_step,3.0,0.06670618818678815,0.03726428652809808
lorenz,smoke_lorenz,EDMD-pk deg-2,rel_pct,3.0,8.279386624707426,7.036354595071216
lorenz,smoke_lorenz,GMM N=12,one_step,3.0,0.8509833227829692,0.7635137578876718
lorenz,smoke_lorenz,GMM N=12,r0_5s,3.0,16.006423664130004,5.242266329657985
lorenz,smoke_lorenz,GMM N=12,r1s,3.0,20.003505189069386,15.296549395047847
